---------------------------- PROCESS STARTED (11508) for package com.example.mg4_2 ----------------------------
2026-02-18 00:11:38.709 11508-11508 MG4_HW                                   com.example.mg4_2                    I  Car.createCar() başarılı, onServiceConnected bekleniyor...
2026-02-18 00:11:38.709 11508-11508 MG4_SERVICE                              com.example.mg4_2                    I  Car.connect() çağrıldı
2026-02-18 00:11:38.715 11508-11508 MG4_SERVICE                              com.example.mg4_2                    I  Hardkey receiver kayıt edildi. keycode=17
2026-02-18 00:11:50.434 11508-11508 MG4_HW                                   com.example.mg4_2                    I  setDriveMode → Eco (2)
2026-02-18 00:11:50.434 11508-11508 MG4_HW                                   com.example.mg4_2                    E  CarPropertyManager henüz hazır değil!
2026-02-18 00:11:57.664 11508-11508 MG4_HW                                   com.example.mg4_2                    I  setOnePedal → Açık
2026-02-18 00:11:57.664 11508-11508 MG4_HW                                   com.example.mg4_2                    E  CarPropertyManager henüz hazır değil!
2026-02-18 00:12:00.058 11508-11508 MG4_HW                                   com.example.mg4_2                    I  setOnePedal → Kapalı
2026-02-18 00:12:15.155  3523-3578  CarAdvancedAssistedDrivingManager        com.saicmotor.service.vehicle        I  setProperty, propId: 0x2140a191, class: class java.lang.Integer, value: 0
2026-02-18 00:12:15.646  2877-2877  CarAdvancedAssistedDrivingManager        com.android.car                      I  onChangeEvent,PropID,area,value:557883793_16777216_0
2026-02-18 00:12:15.647  3523-3523  CarAdvancedAssistedDrivingManager        com.saicmotor.service.vehicle        I  onChangeEvent,PropID,area,value:557883793_16777216_0
2026-02-18 00:12:15.992  3523-3859  CarAdvancedAssistedDrivingManager        com.saicmotor.service.vehicle        I  setProperty, propId: 0x2140a191, class: class java.lang.Integer, value: 1
2026-02-18 00:12:16.555  2877-2877  CarAdvancedAssistedDrivingManager        com.android.car                      I  onChangeEvent,PropID,area,value:557883793_16777216_1
2026-02-18 00:12:16.555  3523-3523  CarAdvancedAssistedDrivingManager        com.saicmotor.service.vehicle        I  onChangeEvent,PropID,area,value:557883793_16777216_1
2026-02-18 00:12:16.705  3523-3859  CarAdvancedAssistedDrivingManager        com.saicmotor.service.vehicle        I  setProperty, propId: 0x2140a191, class: class java.lang.Integer, value: 2
2026-02-18 00:12:17.255  2877-2877  CarAdvancedAssistedDrivingManager        com.android.car                      I  onChangeEvent,PropID,area,value:557883793_16777216_2
2026-02-18 00:12:17.255  3523-3523  CarAdvancedAssistedDrivingManager        com.saicmotor.service.vehicle        I  onChangeEvent,PropID,area,value:557883793_16777216_2
2026-02-18 00:12:17.419  3523-3578  CarAdvancedAssistedDrivingManager        com.saicmotor.service.vehicle        I  setProperty, propId: 0x2140a191, class: class java.lang.Integer, value: 3
2026-02-18 00:12:17.955  3523-3523  CarAdvancedAssistedDrivingManager        com.saicmotor.service.vehicle        I  onChangeEvent,PropID,area,value:557883793_16777216_3
2026-02-18 00:12:17.955  2877-2877  CarAdvancedAssistedDrivingManager        com.android.car                      I  onChangeEvent,PropID,area,value:557883793_16777216_3
2026-02-18 00:12:18.132  3523-3859  CarAdvancedAssistedDrivingManager        com.saicmotor.service.vehicle        I  setProperty, propId: 0x2140a193, class: class java.lang.Integer, value: 1
2026-02-18 00:12:18.657  2877-2877  CarAdvancedAssistedDrivingManager        com.android.car                      I  onChangeEvent,PropID,area,value:557883793_16777216_6
2026-02-18 00:12:18.657  3523-3523  CarAdvancedAssistedDrivingManager        com.saicmotor.service.vehicle        I  onChangeEvent,PropID,area,value:557883793_16777216_6
2026-02-18 00:12:18.658  3523-3523  CarAdvancedAssistedDrivingManager        com.saicmotor.service.vehicle        I  onChangeEvent,PropID,area,value:557883804_16777216_1
2026-02-18 00:12:18.658  3523-3523  CarAdvancedAssistedDrivingManager        com.saicmotor.service.vehicle        I  onChangeEvent,PropID,area,value:557883795_16777216_1
2026-02-18 00:12:18.659  2877-2877  CarAdvancedAssistedDrivingManager        com.android.car                      I  onChangeEvent,PropID,area,value:557883804_16777216_1
2026-02-18 00:12:18.659  2877-2877  CarAdvancedAssistedDrivingManager        com.android.car                      I  onChangeEvent,PropID,area,value:557883795_16777216_1
2026-02-18 00:12:19.232  3523-3578  CarAdvancedAssistedDrivingManager        com.saicmotor.service.vehicle        I  setProperty, propId: 0x2140a193, class: class java.lang.Integer, value: 0
2026-02-18 00:12:19.742  2877-2877  CarAdvancedAssistedDrivingManager        com.android.car                      I  onChangeEvent,PropID,area,value:557883793_16777216_3
2026-02-18 00:12:19.742  2877-2877  CarAdvancedAssistedDrivingManager        com.android.car                      I  onChangeEvent,PropID,area,value:557883804_16777216_0
2026-02-18 00:12:19.742  2877-2877  CarAdvancedAssistedDrivingManager        com.android.car                      I  onChangeEvent,PropID,area,value:557883795_16777216_0
2026-02-18 00:12:19.742  3523-3523  CarAdvancedAssistedDrivingManager        com.saicmotor.service.vehicle        I  onChangeEvent,PropID,area,value:557883793_16777216_3
2026-02-18 00:12:19.742  3523-3523  CarAdvancedAssistedDrivingManager        com.saicmotor.service.vehicle        I  onChangeEvent,PropID,area,value:557883804_16777216_0
2026-02-18 00:12:19.743  3523-3523  CarAdvancedAssistedDrivingManager        com.saicmotor.service.vehicle        I  onChangeEvent,PropID,area,value:557883795_16777216_0
